constructorId,year,constructorRef,constructor_name,constructor_nationality,races_count,finished_races,finish_rate,dnf_count,dnf_rate,mech_dnf_count,mech_dnf_rate,crash_dnf_count,crash_dnf_rate,other_dnf_count,other_dnf_rate,reliability_rate,win_count,podiums,top10_finishes,total_points,points_per_race,avg_finish_position,std_finish_position,consistency_index,performance_score
6,2019,ferrari,Ferrari,Italian,162.0,138.0,0.8518518518518519,24.0,0.14814814814814814,9.0,0.05555555555555555,11.0,0.06790123456790123,0.0,0.0,0.9444444444444444,14,71,136,1919.0,11.845679012345679,3.185185185185185,2.3286254680915777,0.30042430714601737,10.090763603109282
6,2020,ferrari,Ferrari,Italian,204.0,176.0,0.8627450980392157,28.0,0.13725490196078433,11.0,0.05392156862745098,13.0,0.06372549019607843,0.0,0.0,0.946078431372549,17,90,170,2423.0,11.877450980392156,3.3970588235294117,2.836075577768389,0.2606830808536216,10.24721261053441
6,2021,ferrari,Ferrari,Italian,238.0,204.0,0.8571428571428571,34.0,0.14285714285714285,13.0,0.0546218487394958,17.0,0.07142857142857142,0.0,0.0,0.9453781512605042,17,93,187,2554.0,10.731092436974789,3.9495798319327733,3.462521399978278,0.2240885612346571,9.198079231692676
6,2022,ferrari,Ferrari,Italian,282.0,246.0,0.8723404255319149,36.0,0.1276595744680851,14.0,0.04964539007092199,18.0,0.06382978723404255,0.0,0.0,0.950354609929078,17,98,225,2876.5,10.200354609929079,4.308510638297872,3.5250670606105805,0.22099120004313638,8.898181681001963
6,2023,ferrari,Ferrari,Italian,326.0,281.0,0.8619631901840491,45.0,0.13803680981595093,18.0,0.05521472392638037,23.0,0.0705521472392638,0.0,0.0,0.9447852760736196,21,118,260,3395.5,10.41564417177914,4.0920245398773005,3.406615390174786,0.2269315362147672,8.977901878128646
6,2024,ferrari,Ferrari,Italian,370.0,319.0,0.8621621621621621,51.0,0.13783783783783785,22.0,0.05945945945945946,25.0,0.06756756756756757,0.0,0.0,0.9405405405405405,22,127,294,3758.5,10.158108108108108,4.1702702702702705,3.4375796690415816,0.2253480668699696,8.757936449963477
6,2025,ferrari,Ferrari,Italian,418.0,364.0,0.8708133971291866,54.0,0.1291866028708134,23.0,0.05502392344497608,27.0,0.0645933014354067,0.0,0.0,0.9449760765550239,27,149,336,4353.5,10.415071770334928,4.160287081339713,3.418308699831697,0.22633094877188914,9.06958402966965
9,2015,red_bull,Red Bull,Austrian,466.0,406.0,0.871244635193133,60.0,0.12875536480686695,23.0,0.04935622317596566,31.0,0.06652360515021459,2.0,0.004291845493562232,0.9506437768240343,27,156,375,4713.5,10.11480686695279,4.517167381974249,3.7583562579514522,0.21015660572470793,8.81247121884728
9,2016,red_bull,Red Bull,Austrian,38.0,32.0,0.8421052631578947,6.0,0.15789473684210525,4.0,0.10526315789473684,1.0,0.02631578947368421,1.0,0.02631578947368421,0.8947368421052632,0,3,27,187.0,4.921052631578948,6.868421052631579,4.18751938020074,0.19277036415838955,4.14404432132964
9,2017,red_bull,Red Bull,Austrian,80.0,71.0,0.8875,9.0,0.1125,5.0,0.0625,2.0,0.025,2.0,0.025,0.9375,2,19,63,655.0,8.1875,5.525,3.8664421630227443,0.20548893144121114,7.266406249999999
